¡ˆ¡°,¡ˆ¡°∏Ì,¿œΩ√,∆Ú±’±‚ø¬,√÷¿˙±‚ø¬,√÷∞Ì±‚ø¬,√÷¥Î «≥º”,∆Ú±’ ªÛ¥ÎΩ¿µµ
101,√·√µ,2018-12-01,1.5,-3.6,10.6,2.7,69
101,√·√µ,2018-12-02,1.8,-3.3,7.2,1.5,79.8
101,√·√µ,2018-12-03,5.3,2.3,7.1,1.5,93.1
101,√·√µ,2018-12-04,7.1,1.2,11.5,4.4,81.4
101,√·√µ,2018-12-05,0.1,-4.4,3.7,2.2,63.1
101,√·√µ,2018-12-06,3,-0.1,7.6,5.7,61.9
101,√·√µ,2018-12-07,-6.1,-9.2,-0.1,6,31.9
101,√·√µ,2018-12-08,-8.2,-12.9,-3,4.6,46.8
101,√·√µ,2018-12-09,-8.1,-14.3,-1.9,2.2,52.6
101,√·√µ,2018-12-10,-6.1,-11.7,2.4,2.1,60.4
101,√·√µ,2018-12-11,-3.3,-6.9,-0.7,1.9,81.5
101,√·√µ,2018-12-12,-2.9,-7.9,3.1,2.4,69.3
101,√·√µ,2018-12-13,-4.1,-8.5,1.1,4.2,69.3
101,√·√µ,2018-12-14,-6.8,-12.3,0.7,1.6,72.1
101,√·√µ,2018-12-15,-5.5,-11.2,1.3,1.7,74.1
101,√·√µ,2018-12-16,-2.7,-6.4,-0.4,1.7,84
101,√·√µ,2018-12-17,-0.3,-5,5.2,5.9,67.1
101,√·√µ,2018-12-18,-1.8,-8.4,6.6,4.1,77
101,√·√µ,2018-12-19,1.1,-4.4,9.1,4.6,63.3
101,√·√µ,2018-12-20,-1.4,-5.8,7.4,1.7,68.1
101,√·√µ,2018-12-21,0.7,-5,5.7,1.6,68.4
101,√·√µ,2018-12-22,2.9,-2.6,11.6,1.6,70.3
101,√·√µ,2018-12-23,2.3,-3.1,8.8,6,55.6
101,√·√µ,2018-12-24,-4.1,-9.5,3.5,3.4,55.1
101,√·√µ,2018-12-25,-3.7,-9.2,2,2.1,67.3
101,√·√µ,2018-12-26,-1.1,-5.1,5.5,4.6,50.8
101,√·√µ,2018-12-27,-8.8,-12.7,-4.3,5,29.4
101,√·√µ,2018-12-28,-11.4,-16.4,-5.4,2.4,51.5
101,√·√µ,2018-12-29,-9.5,-16.4,-2.2,3.4,48.5
101,√·√µ,2018-12-30,-9.4,-15.4,-1.1,1.5,58.9
101,√·√µ,2018-12-31,-8.2,-14.9,-0.5,1.9,65
101,√·√µ,2019-01-01,-7,-13.7,0,4.8,62.6
101,√·√µ,2019-01-02,-7.5,-13.9,1.4,3.1,60.8
101,√·√µ,2019-01-03,-7.1,-13.7,2.3,1.6,59.4
101,√·√µ,2019-01-04,-4.6,-12,2.9,3.1,65.1
101,√·√µ,2019-01-05,-4.3,-9.5,3.4,2.5,59
101,√·√µ,2019-01-06,-5.1,-10.4,4,2.3,54
101,√·√µ,2019-01-07,-5.1,-12.1,3.3,4.4,57.6
101,√·√µ,2019-01-08,-5.2,-11.3,1.7,6.3,48.9
101,√·√µ,2019-01-09,-8,-14.1,-0.7,1.7,52.5
101,√·√µ,2019-01-10,-3.1,-8.5,4.9,3.9,58.8
101,√·√µ,2019-01-11,-2.5,-8.6,5.8,1.5,71.1
101,√·√µ,2019-01-12,0.1,-4.2,6.9,1.7,65.6
101,√·√µ,2019-01-13,-2.3,-8.2,7.6,1.3,73
101,√·√µ,2019-01-14,-2.8,-9.2,4.9,1.7,74.3
101,√·√µ,2019-01-15,-2.6,-6.9,2.1,5.1,63.6
101,√·√µ,2019-01-16,-6.3,-13.7,-0.6,3.7,55
101,√·√µ,2019-01-17,-2.6,-8.6,5,4,57.5
101,√·√µ,2019-01-18,-3.2,-10.7,6.5,2.8,54.1
101,√·√µ,2019-01-19,-1.4,-6.8,4.9,1.7,66.4
101,√·√µ,2019-01-20,-1.7,-5.8,3,4.9,51
101,√·√µ,2019-01-21,-5.5,-12.1,0.2,2.7,73
101,√·√µ,2019-01-22,-1.8,-9.4,6.5,4,72.3
101,√·√µ,2019-01-23,-1,-7.4,8,4,60.8
101,√·√µ,2019-01-24,-2.9,-10.3,7.1,2.5,51.8
101,√·√µ,2019-01-25,-4,-10.3,4.3,4.3,46.4
101,√·√µ,2019-01-26,-4.9,-11.8,3.9,3.3,48.8
101,√·√µ,2019-01-27,-2.7,-12.5,4.9,4,56.5
101,√·√µ,2019-01-28,1,-5.9,5.2,4.8,50.1
101,√·√µ,2019-01-29,-3,-10.1,6.6,2,51.4
101,√·√µ,2019-01-30,-0.6,-7.6,7.9,3.5,56.5
101,√·√µ,2019-01-31,-0.8,-5.3,3.8,3.6,49.4
101,√·√µ,2019-02-01,-3.6,-13.2,3.7,5.1,53.5
101,√·√µ,2019-02-02,-1.8,-8.5,4.6,2.3,73.9
101,√·√µ,2019-02-03,1.6,-0.1,3.6,2.8,91.9
101,√·√µ,2019-02-04,0.4,-3.8,5.1,4.1,44.4
101,√·√µ,2019-02-05,-0.6,-6.8,7.9,2.7,62.1
101,√·√µ,2019-02-06,2.2,-4.8,9.4,2.7,67.5
101,√·√µ,2019-02-07,0.6,-6.5,4.8,5.3,50.5
101,√·√µ,2019-02-08,-4.6,-8.8,0.9,2.9,44.5
101,√·√µ,2019-02-09,-3.8,-7.6,0.6,3.5,34.6
101,√·√µ,2019-02-10,-4.5,-10.8,0,2.7,45.6
101,√·√µ,2019-02-11,-2.4,-9.2,2.9,4.2,39.8
101,√·√µ,2019-02-12,-2.2,-7.1,4.6,3.2,50.6
101,√·√µ,2019-02-13,-3.4,-8.9,3.4,5.4,47.5
101,√·√µ,2019-02-14,-1.7,-7.7,6.4,3,49.4
101,√·√µ,2019-02-15,-0.4,-3.2,1.8,4.1,73.8
101,√·√µ,2019-02-16,-3.3,-8,2.5,4,69.5
101,√·√µ,2019-02-17,-3.1,-10.2,5.6,3.9,63.5
101,√·√µ,2019-02-18,-0.7,-8.8,5.5,1.9,58.5
101,√·√µ,2019-02-19,1.1,-0.4,2.8,2.1,88.6
101,√·√µ,2019-02-20,1.4,-2.2,4.6,4.2,73.4
101,√·√µ,2019-02-21,0.3,-5.6,8.5,1.7,76.3
101,√·√µ,2019-02-22,1.6,-4.9,11.2,1.8,72.6
101,√·√µ,2019-02-23,3.6,-3.3,13.1,4,63.3
101,√·√µ,2019-02-24,4,-4.7,13.8,4.3,58
101,√·√µ,2019-02-25,3.9,-1.6,12.8,2.6,58.3
101,√·√µ,2019-02-26,3.2,-5,12.9,2.1,56.3
101,√·√µ,2019-02-27,7.1,0.8,14.1,3.1,47.5
101,√·√µ,2019-02-28,4.6,-2,13.3,3.5,58.3
101,√·√µ,2019-12-01,5.3,4.2,6.1,2.1,73.9
101,√·√µ,2019-12-02,1.1,-2.1,4.8,6.3,45.3
101,√·√µ,2019-12-03,-1.1,-6.9,4.6,5.1,67.4
101,√·√µ,2019-12-04,0.3,-5.5,6.8,5.6,64.1
101,√·√µ,2019-12-05,-3.2,-8.3,1.2,4.7,34.1
101,√·√µ,2019-12-06,-6.8,-12.3,0.5,2.6,53.9
101,√·√µ,2019-12-07,-4.6,-8.7,-0.9,1.7,81.1
101,√·√µ,2019-12-08,-2.4,-6.1,2.5,1.7,83.5
101,√·√µ,2019-12-09,-1,-5.7,1.9,1.5,82
101,√·√µ,2019-12-10,4.4,1.5,8.7,1.3,91.9
101,√·√µ,2019-12-11,5.2,0.7,9.7,5.4,67.5
101,√·√µ,2019-12-12,-1.5,-6.1,4.3,4.2,56.1
101,√·√µ,2019-12-13,-1.1,-7.9,4,2.7,68.1
101,√·√µ,2019-12-14,1.3,-1.2,6.5,2.4,79.4
101,√·√µ,2019-12-15,1,-3.7,8,3.1,80.9
101,√·√µ,2019-12-16,1.9,-2.4,6.8,2.6,87.5
101,√·√µ,2019-12-17,5.9,4.3,8.2,2.3,92.3
101,√·√µ,2019-12-18,2.6,-0.3,5.5,2.8,81
101,√·√µ,2019-12-19,-0.4,-3.8,4.7,4.5,65.6
101,√·√µ,2019-12-20,-2,-6.2,3.3,3,60.4
101,√·√µ,2019-12-21,-3.2,-8.9,0.7,3.4,77.1
101,√·√µ,2019-12-22,1.2,-2.4,6.2,2.2,80.4
101,√·√µ,2019-12-23,2,-0.9,5.4,1.8,88
101,√·√µ,2019-12-24,-0.4,-3.5,4.2,2.4,85.9
101,√·√µ,2019-12-25,-1,-4,3,2,86.8
101,√·√µ,2019-12-26,1.2,-1.5,4.5,3.2,75.3
101,√·√µ,2019-12-27,-2.5,-7,3.3,4.6,59.3
101,√·√µ,2019-12-28,-1.5,-7.3,3.8,1.4,66
101,√·√µ,2019-12-29,0.5,-2.8,4,1.2,76.3
101,√·√µ,2019-12-30,2.2,-3.8,6.6,5.3,68.8
101,√·√µ,2019-12-31,-6.9,-10.1,-2.8,5.1,70.4
101,√·√µ,2020-01-01,-4.3,-9.3,1.3,2.3,73.4
101,√·√µ,2020-01-02,-2.5,-7.4,3.4,2.9,79
101,√·√µ,2020-01-03,-2.3,-7.6,5.7,3.1,70.1
101,√·√µ,2020-01-04,-2.3,-8.7,7.1,2.2,68.3
101,√·√µ,2020-01-05,-2.4,-8.1,4.9,1.7,71.8
101,√·√µ,2020-01-06,-0.7,-4.2,1.5,2.2,84.5
101,√·√µ,2020-01-07,4.2,1.4,6.5,4.5,95.6
101,√·√µ,2020-01-08,5,2,7.8,4.9,83.9
101,√·√µ,2020-01-09,0.2,-3.1,3.6,4.2,67.8
101,√·√µ,2020-01-10,-1.7,-5,4,2.6,80.4
101,√·√µ,2020-01-11,-1.4,-5.9,4.5,2.9,77.8
101,√·√µ,2020-01-12,-1,-4.3,3.1,3.6,69.1
101,√·√µ,2020-01-13,-2.6,-6.7,1.8,4.5,57.9
101,√·√µ,2020-01-14,-4.3,-9.3,2.6,1.9,66.3
101,√·√µ,2020-01-15,-4.3,-9.5,2.6,3.2,63.8
101,√·√µ,2020-01-16,-4.1,-8.6,3.1,1.7,67.5
101,√·√µ,2020-01-17,-2.2,-7.9,6,1.6,69.1
101,√·√µ,2020-01-18,-0.6,-6,7.1,3.1,65.4
101,√·√µ,2020-01-19,-1.2,-4.3,3,3.2,83.5
101,√·√µ,2020-01-20,-0.6,-6.1,4.9,5.6,62.3
101,√·√µ,2020-01-21,-2.5,-8.8,4.8,1.8,59.4
101,√·√µ,2020-01-22,-0.1,-3.1,5.1,2.3,59.4
101,√·√µ,2020-01-23,2,-3.9,11.2,2.4,62.4
101,√·√µ,2020-01-24,1.3,-4.9,8.9,2.7,72.4
101,√·√µ,2020-01-25,2.5,-0.8,8.3,2.6,77.9
101,√·√µ,2020-01-26,4.1,-2.1,10.5,4.7,67.6
101,√·√µ,2020-01-27,6.1,4.9,7.1,5.7,53
101,√·√µ,2020-01-28,6,0.1,10.2,4.7,59.5
101,√·√µ,2020-01-29,2,-3.2,8.3,3.5,70.6
101,√·√µ,2020-01-30,2.5,-1.5,8.5,4.2,72
101,√·√µ,2020-01-31,3.1,-0.6,8.9,3.9,68.3
101,√·√µ,2020-02-01,0.4,-4,6.6,3.7,76
101,√·√µ,2020-02-02,0.5,-4.5,5.5,3.9,66
101,√·√µ,2020-02-03,0.4,-3.9,4.5,4.5,41.5
101,√·√µ,2020-02-04,-2.1,-9,4,4.4,59.5
101,√·√µ,2020-02-05,-6.8,-10.7,-2,4.5,42.1
101,√·√µ,2020-02-06,-6.4,-13,1.6,2.9,54.3
101,√·√µ,2020-02-07,-3.3,-9.7,3.2,2.9,59.1
101,√·√µ,2020-02-08,-1.3,-5.4,4.5,4.2,62.5
101,√·√µ,2020-02-09,-1.4,-9.1,4.5,4.5,57.6
101,√·√µ,2020-02-10,2.2,-4.1,10.2,3.8,60.9
101,√·√µ,2020-02-11,3,-5.5,13.5,2.2,56.5
101,√·√µ,2020-02-12,4.8,1.4,7.5,1.8,73
101,√·√µ,2020-02-13,7.3,2.7,13.2,3.4,81.1
101,√·√µ,2020-02-14,5.7,1.1,14.2,2.2,79.3
101,√·√µ,2020-02-15,7.6,0.8,14.5,5.5,73.1
101,√·√µ,2020-02-16,0.9,-3.8,7.6,6.4,76.4
101,√·√µ,2020-02-17,-4.8,-6.8,-2.7,4.6,63
101,√·√µ,2020-02-18,-4,-10,2.6,3.2,62.9
101,√·√µ,2020-02-19,-0.9,-7.8,6.7,2,65.8
101,√·√µ,2020-02-20,2.1,-4.1,10.9,2.4,71.3
101,√·√µ,2020-02-21,3.6,-1.8,9,2.3,76.6
101,√·√µ,2020-02-22,4.2,0.4,6.7,7,61
101,√·√µ,2020-02-23,2.1,-4,8.2,4.4,50.5
101,√·√µ,2020-02-24,5.1,-1.7,12.4,2.6,63.6
101,√·√µ,2020-02-25,4.4,1.6,7.5,4.5,84.6
101,√·√µ,2020-02-26,3.6,-0.9,8.5,4,76.5
101,√·√µ,2020-02-27,4.6,0.4,11,3,66
101,√·√µ,2020-02-28,2.3,-0.7,4.4,1.8,87.8
101,√·√µ,2020-02-29,6,2.5,11.7,2,79
